CO N IDLE
37 1 51.74
66 2 64.40
93 3 68.76
113 4 60.11
132 5 53.99
148 6 45.02
166 7 45.69
181 8 43.02
187 9 34.65
195 10 35.24
218 11 31.68
221 12 30.86
236 13 26.73
252 14 25.56
257 15 18.40
251 16 16.87
264 17 13.71
263 18 18.67
286 19 15.21
296 20 12.99
298 21 11.02
285 22 11.66
326 23 2.48
314 24 9.34
324 25 5.96
305 26 10.16
331 27 2.71
338 28 1.81
336 29 0.91
333 30 2.37
336 31 0.79
336 32 1.12
317 33 0.56
322 34 0.79
339 35 0.90
336 36 1.13
324 37 0.91
339 38 0.68
332 39 0.68
338 40 0.00
339 41 0.45
346 42 0.00
349 43 0.34
272 44 0.56
273 45 0.22
336 46 0.33
338 47 0.45
343 48 0.00
305 49 0.00
335 50 0.00
